id,title,company,location,url,job_type,experience_level,remote_type,salary_min,salary_max,salary_currency,first_seen_at,last_seen_at,is_active,source_name,source_type,compliance_status
837,"Software Development Manager, Denied Party Screening, AWS Compliance & Security Assurance, Denied Party Screening, AWS Compliance & Security Assurance",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/3040821/software-development-manager-denied-party-screening-aws-compliance-security-assurance-denied-party-screening-aws-compliance-security-assurance,full-time,lead,onsite,,,,2025-12-14 12:14:10.642844,2025-12-14 12:14:10.642844,1,software-development_amazon_jobs,amazon_jobs,conditional
836,"Software Developer Engineer Ii, Tse Operations Tech",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/3117209/software-dev-engineer-ii-tse-ops-tech,full-time,mid,onsite,,,,2025-12-14 12:14:10.638450,2025-12-14 12:14:10.638450,1,software-development_amazon_jobs,amazon_jobs,conditional
835,"Senior Software Development Engineer, Ring AI",Amazon,Taipei City,https://www.amazon.jobs/en/jobs/2806779/senior-software-development-engineer-ring-ai,full-time,senior,onsite,,,,2025-12-14 12:14:10.634086,2025-12-14 12:14:10.634086,1,software-development_amazon_jobs,amazon_jobs,conditional
834,"Software Development Engineer, Ring AI",Amazon,Taipei City,https://www.amazon.jobs/en/jobs/3044025/software-development-engineer-ring-ai,full-time,intern,onsite,,,,2025-12-14 12:14:10.627244,2025-12-14 12:15:54.156108,1,software-development_amazon_jobs,amazon_jobs,conditional
833,"Software Development Manager , Multichannel Fulfilment, Buy With Prime",Amazon,Hyderabad,https://www.amazon.jobs/en/jobs/3117217/software-development-manager-multichannel-fulfilment-buy-with-prime,full-time,lead,onsite,,,,2025-12-14 12:14:10.622277,2025-12-14 12:14:10.622277,1,software-development_amazon_jobs,amazon_jobs,conditional
832,"Data Engineer Ii, Data Engineering - Case Management",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/2986889/data-engineer-ii-data-engineering-case-management,full-time,mid,onsite,,,,2025-12-14 12:14:10.617901,2025-12-14 12:14:10.617901,1,software-development_amazon_jobs,amazon_jobs,conditional
831,"Data Engineer Ii, Close Systems",Amazon,Hyderabad,https://www.amazon.jobs/en/jobs/3080065/data-engineer-ii-close-systems,full-time,mid,onsite,,,,2025-12-14 12:14:10.613515,2025-12-14 12:14:10.613515,1,software-development_amazon_jobs,amazon_jobs,conditional
830,"Software Development Engineer, AWS Fintech, AWS Fintech",Amazon,Hyderabad,https://www.amazon.jobs/en/jobs/3115000/software-development-engineer-aws-fintech-aws-fintech,full-time,intern,onsite,,,,2025-12-14 12:14:10.609450,2025-12-14 12:14:10.609450,1,software-development_amazon_jobs,amazon_jobs,conditional
829,"Software Development Engineer - Compliance Shared Services (coss), Amazon Stores",Amazon,Bucharest,https://www.amazon.jobs/en/jobs/3108208/software-development-engineer-compliance-shared-services-coss-amazon-stores,full-time,intern,onsite,,,,2025-12-14 12:14:10.605010,2025-12-14 12:14:10.605010,1,software-development_amazon_jobs,amazon_jobs,conditional
828,"Senior Post-silicon Systems Validation Engineer, Annapurna Labs",Amazon,"Austin, TX",https://www.amazon.jobs/en/jobs/3112868/sr-post-silicon-systems-validation-engineer-annapurna-labs,full-time,senior,onsite,,,,2025-12-14 12:14:10.598300,2025-12-14 12:14:10.598300,1,software-development_amazon_jobs,amazon_jobs,conditional
827,"Software Developer Engineer, Intech",Amazon,Sao Paulo,https://www.amazon.jobs/en/jobs/2984706/software-developer-engineer-intech,full-time,intern,onsite,,,,2025-12-14 12:14:10.586540,2025-12-14 12:14:10.586540,1,software-development_amazon_jobs,amazon_jobs,conditional
826,"Software Development Engineer - Affirmative For Women, Finance Technology",Amazon,Sao Paulo,https://www.amazon.jobs/en/jobs/3009578/software-development-engineer-affirmative-for-women-finance-technology,full-time,senior,onsite,,,,2025-12-14 12:14:10.578934,2025-12-14 12:14:10.578934,1,software-development_amazon_jobs,amazon_jobs,conditional
825,"Senior Software Engineer, Intech Latam",Amazon,Sao Paulo,https://www.amazon.jobs/en/jobs/3082471/senior-software-engineer-intech-latam,full-time,senior,onsite,,,,2025-12-14 12:14:10.575287,2025-12-14 12:14:10.575287,1,software-development_amazon_jobs,amazon_jobs,conditional
824,"Software Development Manager, Prime Video Commerce, Prime Video Commerce",Amazon,Bengaluru,https://www.amazon.jobs/en/jobs/3099208/software-development-manager-prime-video-commerce-prime-video-commerce,full-time,lead,onsite,,,,2025-12-14 12:14:10.560745,2025-12-14 12:14:10.560745,1,software-development_amazon_jobs,amazon_jobs,conditional
823,"Software Development Engineer, Query Processing AWS Analytics",Amazon,"East Palo Alto, CA",https://www.amazon.jobs/en/jobs/3031280/software-development-engineer-query-processing-aws-analytics,full-time,intern,onsite,,,,2025-12-14 12:14:10.550485,2025-12-14 12:14:10.550485,1,software-development_amazon_jobs,amazon_jobs,conditional
822,"Senior Software Engineer - Query Optimization, Aurora Dsql",Amazon,"East Palo Alto, CA",https://www.amazon.jobs/en/jobs/3100177/senior-software-engineer-query-optimization-aurora-dsql,full-time,senior,onsite,,,,2025-12-14 12:14:10.546081,2025-12-14 12:14:10.546081,1,software-development_amazon_jobs,amazon_jobs,conditional
821,"Software Engineering Manager, Control Stack, AWS Center For Quantum Computing",Amazon,"Pasadena, CA",https://www.amazon.jobs/en/jobs/3072257/software-engineering-manager-control-stack-aws-center-for-quantum-computing,full-time,lead,onsite,,,,2025-12-14 12:14:10.538237,2025-12-14 12:14:10.538237,1,software-development_amazon_jobs,amazon_jobs,conditional
820,Software Development Engineer,Amazon,"Seattle, WA",https://www.amazon.jobs/en/jobs/3118830/software-development-engineer,full-time,intern,onsite,,,,2025-12-14 12:14:10.532559,2025-12-14 12:14:10.532559,1,software-development_amazon_jobs,amazon_jobs,conditional
819,"Senior Software Development Manager, Frontier AI Robotics",Amazon,"San Francisco, CA",https://www.amazon.jobs/en/jobs/3118893/sr-software-development-manager-frontier-ai-robotics,full-time,senior,onsite,,,,2025-12-14 12:14:10.527915,2025-12-14 12:15:54.167737,1,software-development_amazon_jobs,amazon_jobs,conditional
818,Software Development Engineer – 2026,Amazon,Gdansk,https://www.amazon.jobs/en/jobs/3119044/software-development-engineer-2026,full-time,intern,onsite,,,,2025-12-14 12:14:10.517088,2025-12-14 12:14:10.517088,1,software-development_amazon_jobs,amazon_jobs,conditional
817,Software Development Engineer – 2026,Amazon,Dublin,https://www.amazon.jobs/en/jobs/3119050/software-development-engineer-2026,full-time,intern,onsite,,,,2025-12-14 12:14:10.512617,2025-12-14 12:14:10.512617,1,software-development_amazon_jobs,amazon_jobs,conditional
816,Software Development Engineer – 2026,Amazon,Iasi,https://www.amazon.jobs/en/jobs/3119226/software-development-engineer-2026,full-time,intern,onsite,,,,2025-12-14 12:14:10.507897,2025-12-14 12:14:10.507897,1,software-development_amazon_jobs,amazon_jobs,conditional
815,"Software Development Engineer, Amazon Demand Side Platform",Amazon,"Arlington, VA",https://www.amazon.jobs/en/jobs/3111042/software-development-engineer-amazon-demand-side-platform,full-time,intern,onsite,,,,2025-12-14 12:14:10.503525,2025-12-14 12:14:10.503525,1,software-development_amazon_jobs,amazon_jobs,conditional
814,"Machine Learning - Compiler Engineer , AWS Neuron, Annapurna Labs",Amazon,"Cupertino, CA",https://www.amazon.jobs/en/jobs/3119465/machine-learning-compiler-engineer-aws-neuron-annapurna-labs,full-time,intern,onsite,,,,2025-12-14 12:14:10.498916,2025-12-14 12:14:10.498916,1,software-development_amazon_jobs,amazon_jobs,conditional
